age,annual_income_inr,bank_balance_inr,education_level,purpose_of_visit,prior_approvals,english_level,legal_charges,visa_approved
23,1341200,933800,masters,business,2,fluent,no,1
66,358300,320500,high_school,education,8,fluent,no,1
59,883800,542400,high_school,medical,0,basic,no,0
45,396800,205600,masters,education,2,good,no,1
45,716700,179000,bachelors,business,1,fluent,no,1
72,530300,472100,high_school,business,3,fluent,no,1
23,1266800,840800,masters,medical,3,fluent,no,1
61,429100,117500,bachelors,medical,0,fluent,no,0
30,329700,163100,masters,travel,5,good,no,1
23,1068700,609400,masters,travel,0,good,yes,0
51,721800,225700,high_school,travel,5,good,yes,0
79,940400,657700,high_school,travel,0,good,no,0
64,621100,396100,bachelors,business,3,basic,no,1
65,1490200,484800,masters,business,1,fluent,no,1
63,988200,881800,bachelors,business,3,fluent,no,1
67,2012900,1734100,masters,education,0,good,no,1
50,733800,256200,bachelors,business,2,fluent,no,1
26,292200,140700,bachelors,business,0,fluent,no,1
70,520600,427500,high_school,travel,1,good,no,0
46,567300,258000,high_school,business,6,basic,no,1
49,1006000,871300,bachelors,business,2,basic,no,1
41,325600,97800,bachelors,travel,2,good,no,1
29,910300,630900,phd,travel,3,good,no,1
76,871100,522300,high_school,travel,1,basic,no,0
67,918500,376300,masters,medical,6,basic,no,1
58,456700,314400,high_school,business,1,good,no,1
43,2775300,466700,masters,medical,8,good,no,1
69,300000,96900,high_school,medical,6,good,no,0
52,1916500,663100,masters,education,1,good,no,1
45,947600,225600,high_school,travel,1,basic,no,0
46,477400,83800,high_school,travel,4,basic,no,0
32,742900,308100,bachelors,travel,5,basic,no,1
23,741500,232600,bachelors,education,0,good,no,0
52,836100,208700,bachelors,business,0,basic,no,1
73,545500,146200,bachelors,medical,0,basic,no,0
22,854000,657300,phd,travel,5,fluent,no,1
72,622300,137600,bachelors,education,4,good,no,1
70,633300,439300,bachelors,travel,0,fluent,no,0
35,819800,156100,masters,business,2,basic,no,1
57,283600,51200,masters,travel,5,basic,no,1
28,798300,384500,bachelors,travel,8,fluent,no,1
65,566000,247000,bachelors,travel,0,good,no,0
62,193500,108200,high_school,travel,1,good,no,0
40,624000,422400,bachelors,business,1,fluent,no,1
22,613500,234600,bachelors,travel,3,good,no,1
79,1961400,580200,masters,travel,0,basic,no,0
46,723000,554200,masters,medical,0,good,no,1
74,780200,213800,high_school,business,5,basic,no,0
60,1156100,865700,high_school,travel,2,basic,no,1
67,535500,316100,bachelors,business,0,basic,no,1
65,737000,270500,bachelors,travel,1,fluent,no,1
30,1957600,755000,bachelors,travel,0,good,no,1
40,858000,367200,bachelors,travel,1,basic,no,1
47,929200,551300,bachelors,medical,1,basic,no,0
49,863900,764300,phd,business,0,fluent,no,1
20,1103900,429100,bachelors,education,0,fluent,yes,0
52,528700,452800,high_school,business,7,good,no,1
27,276200,83900,bachelors,business,7,good,no,1
64,622200,146000,bachelors,travel,0,fluent,no,1
61,394600,216700,bachelors,business,3,fluent,no,1
76,804700,710000,bachelors,travel,0,fluent,no,0
64,456900,234700,bachelors,education,5,good,yes,0
41,1265200,948800,masters,education,6,basic,no,1
78,1107700,558700,phd,travel,3,good,no,1
43,380800,299900,bachelors,travel,3,basic,no,1
38,412100,313000,high_school,travel,1,fluent,no,1
75,1064300,707400,bachelors,business,0,basic,no,1
41,1422400,869900,bachelors,business,2,fluent,no,1
22,657900,354300,phd,education,0,fluent,no,1
47,413700,358900,bachelors,medical,4,fluent,no,1
68,2844300,1615700,masters,business,2,fluent,no,1
29,1074900,433000,phd,travel,0,fluent,no,1
47,795500,645700,bachelors,education,3,basic,no,1
26,359800,232100,high_school,education,5,good,no,1
61,851600,484200,bachelors,travel,3,basic,no,1
47,1943100,1285600,bachelors,travel,2,fluent,no,1
38,870100,358200,bachelors,education,6,fluent,yes,0
32,1941300,903900,phd,medical,0,basic,no,1
53,768700,228100,bachelors,business,3,basic,no,1
60,430300,340500,bachelors,medical,1,basic,no,0
77,371100,240900,high_school,business,0,good,no,0
45,292200,224500,high_school,education,9,fluent,no,1
28,852800,330900,bachelors,business,1,good,no,1
